MolecularWeight,IsomericSMILES,IUPACName,name
228.37600000000023,CCCC=CC(OCCCC)OCCCC,,Hexenal dibutyl acetal
216.3270000000001,CCC(=O)C(C)SSc1ccco1,,Methylfuryldithiobutanone
188.33600000000013,CCCCCCCCC(S)C=O,,Mercaptodecanal
198.30600000000015,CCC(=O)OC1(C)CCCCC1(C)C,,Trimethylcyclohexyl propionate
75.11,CC(CN)O,1-aminopropan-2-ol,1-aminopropan-2-ol
102.09,CCC(=O)C(=O)O,2-oxobutanoic acid,2-oxobutanoic acid
120.13,C(C(=O)C(=O)O)S,2-oxo-3-sulfanylpropanoic acid,3-mercaptopyruvic acid
122.12,C1=CC(=CC(=C1)O)C=O,3-hydroxybenzaldehyde,3-hydroxybenzaldehyde
150.17,C1=CC=C(C=C1)CCC(=O)O,3-phenylpropanoic acid,hydrocinnamic acid
124.14,C1=CC(=CC=C1CO)O,4-(hydroxymethyl)phenol,4-hydroxybenzyl alcohol
122.12,C1=CC(=CC=C1C=O)O,4-hydroxybenzaldehyde,4-hydroxybenzaldehyde
100.16,CC(C)CCC=O,4-methylpentanal,4-methylpentanal
138.12,C1=CC(=CC=C1C(=O)O)O,4-hydroxybenzoic acid,4-hydroxybenzoic acid
60.05,CC(=O)O,acetic acid,acetic acid
44.05,CC=O,acetaldehyde,acetaldehyde
88.11,CC(C(=O)C)O,3-hydroxybutan-2-one,acetoin
58.08,CC(=O)C,propan-2-one,acetone
146.14,C(CCC(=O)O)CC(=O)O,hexanedioic acid,adipic acid
119.12,CC(C(C(=O)O)N)O,2-amino-3-hydroxybutanoic acid,dl-threonine
106.12,C1=CC=C(C=C1)C=O,benzaldehyde,benzaldehyde
122.12,C1=CC=C(C=C1)C(=O)O,benzoic acid,benzoic acid
108.14,C1=CC=C(C=C1)CO,phenylmethanol,benzyl alcohol
72.11,CCCC=O,butanal,butyraldehyde
74.12,CCCCO,butan-1-ol,1-butanol
88.11,CCCC(=O)O,butanoic acid,butyric acid
46.025,C(=O)O,formic acid,formic acid
110.11,C1=CC=C(C(=C1)O)O,"benzene-1,2-diol",pyrocatechol
192.12,C(C(=O)O)C(CC(=O)O)(C(=O)O)O,"2-hydroxypropane-1,2,3-tricarboxylic acid",citric acid
150.22,CC(C)C1=CC=C(C=C1)CO,(4-propan-2-ylphenyl)methanol,4-isopropylbenzyl alcohol
148.2,CC(C)C1=CC=C(C=C1)C=O,4-propan-2-ylbenzaldehyde,4-isopropylbenzaldehyde
150.17,COC1=C(C=CC(=C1)C=C)O,4-ethenyl-2-methoxyphenol,2-methoxy-4-vinylphenol
108.14,CC1=CC=CC=C1O,2-methylphenol,o-cresol
108.14,CC1=CC(=CC=C1)O,3-methylphenol,m-cresol
114.23,CCCCCCCC,octane,octane
144.21,CCCCCCCC(=O)O,octanoic acid,octanoic acid
104.1,CC(CC(=O)O)O,3-hydroxybutanoic acid,3-hydroxybutyric acid
182.17,C(C(C(C(C(CO)O)O)O)O)O,"hexane-1,2,3,4,5,6-hexol",hexitol
128.21,CCCCCCCC=O,octanal,octanal
124.14,COC1=CC=CC=C1O,2-methoxyphenol,guaiacol
148.18,CSCCC(=O)C(=O)O,4-methylsulfanyl-2-oxobutanoic acid,4-methylthio-2-oxobutanoic acid
134.09,C(C(C(=O)O)O)C(=O)O,2-hydroxybutanedioic acid,malic acid
58.08,CCC=O,propanal,propionaldehyde
120.17,CSCCC(=O)O,3-methylsulfanylpropanoic acid,3-(methylthio)propionic acid
121.16,C(C(C(=O)O)N)S,2-amino-3-sulfanylpropanoic acid,dl-cysteine
147.13,C(CC(=O)O)C(C(=O)O)N,2-aminopentanedioic acid,dl-glutamic acid
90.08,CC(C(=O)O)O,2-hydroxypropanoic acid,lactic acid
86.09,CC(=O)C(=O)C,"butane-2,3-dione","2,3-butanedione"
148.16,C1CC(=O)OC2=CC=CC=C21,"3,4-dihydrochromen-2-one",dihydrocoumarin
90.08,C(C(=O)CO)O,"1,3-dihydroxypropan-2-one","1,3-dihydroxyacetone"
45.08,CNC,N-methylmethanamine,dimethylamine
144.17,CCOC(=O)C(C)C(=O)C,ethyl 2-methyl-3-oxobutanoate,ethyl 2-methylacetoacetate
46.07,CCO,ethanol,ethanol
76.05,C(C(=O)O)O,2-hydroxyacetic acid,glycolic acid
117.15,C1=CC=C2C(=C1)C=CN2,1H-indole,indole
131.17,CC(C)CC(C(=O)O)N,2-amino-4-methylpentanoic acid,dl-leucine
150.09,C(C(C(=O)O)O)(C(=O)O)O,"2,3-dihydroxybutanedioic acid","2,3-dihydroxysuccinic acid"
149.21,CSCCC(C(=O)O)N,2-amino-4-methylsulfanylbutanoic acid,dl-methionine
48.11,CS,methanethiol,methanethiol
72.06,CC(=O)C=O,2-oxopropanal,methylglyoxal
128.17,C1=CC=C2C=CC=CC2=C1,naphthalene,naphthalene
130.23,CCCCCCCCO,octan-1-ol,1-octanol
104.06,C(C(=O)C(=O)O)O,3-hydroxy-2-oxopropanoic acid,3-hydroxypyruvic acid
240.42,CCCCCCCCCCCCCCCC=O,hexadecanal,hexadecanal
256.42,CCCCCCCCCCCCCCCC(=O)O,hexadecanoic acid,palmitic acid
130.14,CC1(COC(=O)C1O)C,"3-hydroxy-4,4-dimethyloxolan-2-one",dl-pantolactone
165.19,C1=CC=C(C=C1)CC(C(=O)O)N,2-amino-3-phenylpropanoic acid,dl-phenylalanine
94.11,C1=CC=C(C=C1)O,phenol,phenol
164.16,C1=CC=C(C=C1)CC(=O)C(=O)O,2-oxo-3-phenylpropanoic acid,phenylpyruvic acid
120.15,C1=CC=C(C=C1)CC=O,2-phenylacetaldehyde,phenylacetaldehyde
136.15,C1=CC=C(C=C1)CC(=O)O,2-phenylacetic acid,phenylacetic acid
121.18,C1=CC=C(C=C1)CCN,2-phenylethanamine,phenethylamine
166.13,C1=CC=C(C(=C1)C(=O)O)C(=O)O,phthalic acid,phthalic acid
76.09,CC(CO)O,"propane-1,2-diol",propylene glycol
60.1,CCCO,propan-1-ol,1-propanol
74.08,CCC(=O)O,propanoic acid,propionic acid
79.1,C1=CC=NC=C1,pyridine,pyridine
88.06,CC(=O)C(=O)O,2-oxopropanoic acid,pyruvic acid
62.14,CSC,methylsulfanylmethane,dimethyl sulfide
118.09,C(CC(=O)O)C(=O)O,butanedioic acid,succinic acid
88.17,C1CCSC1,thiolane,tetrahydrothiophene
92.12,C(C(=O)O)S,2-sulfanylacetic acid,mercaptoacetic acid
143.21,CC1=C(SC=N1)CCO,"2-(4-methyl-1,3-thiazol-5-yl)ethanol",4-methyl-5-thiazoleethanol
75.11,C[N+](C)(C)[O-],"N,N-dimethylmethanamine oxide",trimethylamine n-oxide
59.11,CN(C)C,"N,N-dimethylmethanamine",trimethylamine
117.15,CC(C)C(C(=O)O)N,2-amino-3-methylbutanoic acid,dl-valine
152.15,COC1=C(C=CC(=C1)C=O)O,4-hydroxy-3-methoxybenzaldehyde,vanillin
156.26,CC1CCC(C(C1)O)C(C)C,5-methyl-2-propan-2-ylcyclohexan-1-ol,menthol
154.12,C1=CC(=C(C=C1O)O)C(=O)O,"2,4-dihydroxybenzoic acid","2,4-dihydroxybenzoic acid"
78.14,C(CS)O,2-sulfanylethanol,2-mercaptoethanol
166.17,CC(=O)C1=CC(=C(C=C1)O)OC,1-(4-hydroxy-3-methoxyphenyl)ethanone,acetovanillone
188.22,C(CCCC(=O)O)CCCC(=O)O,nonanedioic acid,azelaic acid
212.24,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2,benzyl benzoate,benzyl benzoate
149.21,C1=CC=C(C=C1)CN=C=S,isothiocyanatomethylbenzene,benzyl isothiocyanate
194.19,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,"1,3,7-trimethylpurine-2,6-dione",caffeine
152.23,CC1(C2CCC1(C(=O)C2)C)C,"1,7,7-trimethylbicyclo[2.2.1]heptan-2-one",camphor
242.44,CCCCCCCCCCCCCCCCO,hexadecan-1-ol,1-hexadecanol
154.25,CC1(C2CCC(O1)(CC2)C)C,"1,3,3-trimethyl-2-oxabicyclo[2.2.2]octane",eucalyptol
108.14,CC1=CC=C(C=C1)O,4-methylphenol,p-cresol
172.26,CCCCCCCCCC(=O)O,decanoic acid,decanoic acid
293.4,CCCCCCCCC(=O)NCC1=CC(=C(C=C1)O)OC,N-[(4-hydroxy-3-methoxyphenyl)methyl]nonanamide,nonivamide
124.23,C(C(CS)S)O,"2,3-bis(sulfanyl)propan-1-ol",dimercaprol
182.22,C1=CC=C(C=C1)C(=O)C2=CC=CC=C2,diphenylmethanone,benzophenone
164.2,COC1=C(C=CC(=C1)CC=C)O,2-methoxy-4-prop-2-enylphenol,eugenol
100.12,C(CC=O)CC=O,pentanedial,glutaraldehyde
164.2,CC(C)C1=CC(=O)C(=CC=C1)O,"2-hydroxy-6-propan-2-ylcyclohepta-2,4,6-trien-1-one",hinokitiol
60.1,CC(C)O,propan-2-ol,isopropyl alcohol
200.32,CCCCCCCCCCCC(=O)O,dodecanoic acid,lauric acid
86.09,CC(=C)C(=O)O,2-methylprop-2-enoic acid,methacrylic acid
152.15,COC(=O)C1=CC=CC=C1O,methyl 2-hydroxybenzoate,methyl salicylate
192.21,COC1=CC(=CC2=C1OCO2)CC=C,"4-methoxy-6-prop-2-enyl-1,3-benzodioxole",myristicin
164.2,C1=CC=C(C=C1)CCCC(=O)O,4-phenylbutanoic acid,4-phenylbutyric acid
86.14,C1CNCCN1,piperazine,piperazine
212.2,CCCOC(=O)C1=CC(=C(C(=C1)O)O)O,"propyl 3,4,5-trihydroxybenzoate",propyl gallate
110.11,C1=CC(=CC(=C1)O)O,"benzene-1,3-diol",resorcinol
183.19,C1=CC=C2C(=C1)C(=O)NS2(=O)=O,"1,1-dioxo-1,2-benzothiazol-3-one",saccharin
162.18,C=CCC1=CC2=C(C=C1)OCO2,"5-prop-2-enyl-1,3-benzodioxole",safrole
284.5,CCCCCCCCCCCCCCCCCC(=O)O,octadecanoic acid,stearic acid
180.16,CN1C=NC2=C1C(=O)NC(=O)N2C,"3,7-dimethylpurine-2,6-dione",theobromine
218.2,CC(=O)OCC(COC(=O)C)OC(=O)C,"2,3-diacetyloxypropyl acetate",triacetin
137.18,C1=CC(=CC=C1CCN)O,4-(2-aminoethyl)phenol,tyramine
184.27,C=CCCCCCCCCC(=O)O,undec-10-enoic acid,undecylenic acid
131.13,C1[C@H](CN[C@@H]1C(=O)O)O,"(2S,4R)-4-hydroxypyrrolidine-2-carboxylic acid",l-hydroxyproline
146.14,C(CC(=O)N)[C@@H](C(=O)O)N,"(2S)-2,5-diamino-5-oxopentanoic acid",l-glutamine
99.16,C=CCN=C=S,3-isothiocyanatoprop-1-ene,allyl isothiocyanate
180.16,C([C@H]([C@H]([C@@H](C(=O)CO)O)O)O)O,"(3S,4R,5R)-1,3,4,5,6-pentahydroxyhexan-2-one",d-(-)-fructose
342.3,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@]2([C@H]([C@@H]([C@H](O2)CO)O)O)CO)O)O)O)O,"(2R,3R,4S,5S,6R)-2-[(2S,3S,4S,5R)-3,4-dihydroxy-2,5-bis(hydroxymethyl)oxolan-2-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol",sucrose
302.36,CCCC(=O)OCC(COC(=O)CCC)OC(=O)CCC,"2,3-di(butanoyloxy)propyl butanoate",tributyrin
122.16,C1=CC=C(C=C1)CCO,2-phenylethanol,2-phenylethanol
149.21,CSCC[C@@H](C(=O)O)N,(2S)-2-amino-4-methylsulfanylbutanoic acid,l-methionine
165.19,C1=CC=C(C=C1)C[C@@H](C(=O)O)N,(2S)-2-amino-3-phenylpropanoic acid,l-phenylalanine
100.16,CCCCCC=O,hexanal,hexanal
150.16,C(C(C(=O)O)S)C(=O)O,2-sulfanylbutanedioic acid,mercaptosuccinic acid
88.15,CCCCCO,pentan-1-ol,1-pentanol
131.17,CC[C@H](C)[C@@H](C(=O)O)N,"(2S,3S)-2-amino-3-methylpentanoic acid",l-isoleucine
31.057,CN,methanamine,methylamine
45.08,CCN,ethanamine,ethanamine
62.14,CCS,ethanethiol,ethanethiol
59.11,CC(C)N,propan-2-amine,isopropylamine
76.16,CC(C)S,propane-2-thiol,2-propanethiol
74.12,CC(C)(C)O,2-methylpropan-2-ol,tert-butanol
90.19,CC(C)(C)S,2-methylpropane-2-thiol,2-methyl-2-propanethiol
88.15,CCC(C)(C)O,2-methylbutan-2-ol,2-methyl-2-butanol
102.13,CC(C)(C)C(=O)O,"2,2-dimethylpropanoic acid",pivalic acid
118.17,CC(C)(C(C)(C)O)O,"2,3-dimethylbutane-2,3-diol",pinacol
196.29,CC(=O)OC1CC2CCC1(C2(C)C)C,"(1,7,7-trimethyl-2-bicyclo[2.2.1]heptanyl) acetate",bornyl acetate
264.4,C[C@@H]1CC[C@@H]2C13CCC(C(C3)C2(C)C)(C)OC(=O)C,"[(2R,5S)-2,6,6,8-tetramethyl-8-tricyclo[5.3.1.01,5]undecanyl] acetate",cedryl acetate
102.17,CCC(C)(CC)O,3-methylpentan-3-ol,3-methyl-3-pentanol
104.15,CC(C)(OC)OC,"2,2-dimethoxypropane","2,2-dimethoxypropane"
206.24,CCOC(=O)C1C(O1)(C)C2=CC=CC=C2,ethyl 3-methyl-3-phenyloxirane-2-carboxylate,77-83-8
402.5,CCCCOC(=O)CC(CC(=O)OCCCC)(C(=O)OCCCC)OC(=O)C,"tributyl 2-acetyloxypropane-1,2,3-tricarboxylate",77-90-7
276.28,CCOC(=O)CC(CC(=O)OCC)(C(=O)OCC)O,"triethyl 2-hydroxypropane-1,2,3-tricarboxylate",triethyl citrate
360.4,CCCCOC(=O)CC(CC(=O)OCCCC)(C(=O)OCCCC)O,"tributyl 2-hydroxypropane-1,2,3-tricarboxylate",tributyl citrate
106.15,C(CS)C(=O)O,3-sulfanylpropanoic acid,3-mercaptopropionic acid
224.34,CC(C)C(=O)OC(C)(CCC=C(C)C)C=C,"3,7-dimethylocta-1,6-dien-3-yl 2-methylpropanoate",linalyl isobutyrate
138.21,CC1=CC(=O)CC(C1)(C)C,"3,5,5-trimethylcyclohex-2-en-1-one",isophorone
158.28,CCC(C)(CCCC(C)C)O,"3,7-dimethyloctan-3-ol","3,7-dimethyloctan-3-ol"
154.25,CC(=CCCC(C)(C=C)O)C,"3,7-dimethylocta-1,6-dien-3-ol",linalool
68.12,CC(=C)C=C,"2-methylbuta-1,3-diene",isoprene
73.14,CC(C)CN,2-methylpropan-1-amine,isobutylamine
74.12,CC(C)CO,2-methylpropan-1-ol,2-methyl-1-propanol
72.11,CC(C)C=O,2-methylpropanal,isobutyraldehyde
74.12,CCC(C)O,butan-2-ol,2-butanol
72.11,CCC(=O)C,butan-2-one,2-butanone
70.09,CC(=O)C=C,but-3-en-2-one,methyl vinyl ketone
74.08,CC(=O)OC,methyl acetate,methyl acetate
88.11,CC(C)C(=O)O,2-methylpropanoic acid,isobutyric acid
136.23,CC1(C2CCC(C2)C1=C)C,"2,2-dimethyl-3-methylidenebicyclo[2.2.1]heptane",camphene
198.3,CC1CCC(CC1)C(C)(C)OC(=O)C,2-(4-methylcyclohexyl)propan-2-yl acetate,dihydroterpinyl acetate
172.26,CC1(CCC(CC1)C(C)(C)O)O,4-(2-hydroxypropan-2-yl)-1-methylcyclohexan-1-ol,terpin
136.23,CC1=CCC2CC1C2(C)C,"2,6,6-trimethylbicyclo[3.1.1]hept-2-ene",alpha-pinene
100.12,CC(=C)C(=O)OC,methyl 2-methylprop-2-enoate,methyl methacrylate
131.17,CC1=CNC2=CC=CC=C12,3-methyl-1H-indole,3-methylindole
268.27,CC1=C(C=C(C(=C1[N+](=O)[O-])OC)C(C)(C)C)[N+](=O)[O-],"1-tert-butyl-2-methoxy-4-methyl-3,5-dinitrobenzene",musk ambrette
165.19,CNC1=CC=CC=C1C(=O)OC,methyl 2-(methylamino)benzoate,methyl 2-(methylamino)benzoate
194.23,CC(C)COC(=O)C1=CC=CC=C1O,2-methylpropyl 2-hydroxybenzoate,isobutyl salicylate
208.25,CC(C)CCOC(=O)C1=CC=CC=C1O,3-methylbutyl 2-hydroxybenzoate,isoamyl salicylate
165.19,CCOC(=O)C1=CC=CC=C1N,ethyl 2-aminobenzoate,ethyl anthranilate
134.13,C1C2=CC=CC=C2C(=O)O1,3H-2-benzofuran-1-one,phthalide
116.16,CCC(CC)C(=O)O,2-ethylbutanoic acid,2-ethylbutyric acid
112.08,C1=COC(=C1)C(=O)O,furan-2-carboxylic acid,2-furoic acid
164.24,CC1=CC(=C(C=C1)C(C)(C)C)O,2-tert-butyl-5-methylphenol,6-tert-butyl-m-cresol
136.19,CC(C)C1=CC=CC=C1O,2-propan-2-ylphenol,2-isopropylphenol
204.35,CC1CCC(=C(C)C)CC2=C1CCC2C,"1,4-dimethyl-7-propan-2-ylidene-2,3,4,5,6,8-hexahydro-1H-azulene",guaiene
276.4,CC1CCC(C(C1)OC(=O)C2=CC=CC=C2O)C(C)C,(5-methyl-2-propan-2-ylcyclohexyl) 2-hydroxybenzoate,menthyl salicylate
148.2,CC1=CC(=C(C=C1)C(=O)C)C,"1-(2,4-dimethylphenyl)ethanone","2',4'-dimethylacetophenone"
152.23,CC1=CC(=O)C(CC1)C(C)C,3-methyl-6-propan-2-ylcyclohex-2-en-1-one,piperitone
150.22,CC1=CC(=C(C=C1)C(C)C)O,5-methyl-2-propan-2-ylphenol,thymol
122.16,CCC1=CC=CC=C1O,2-ethylphenol,2-ethylphenol
122.12,C1=CC=C(C(=C1)C=O)O,2-hydroxybenzaldehyde,salicylaldehyde
142.2,CC1=CC=CC2=CC=CC=C12,1-methylnaphthalene,1-methylnaphthalene
170.21,C1=CC=C(C=C1)C2=CC=CC=C2O,2-phenylphenol,2-phenylphenol
154.16,COC1=C(C(=CC=C1)OC)O,"2,6-dimethoxyphenol","2,6-dimethoxyphenol"
138.16,COC1=CC=CC=C1OC,"1,2-dimethoxybenzene","1,2-dimethoxybenzene"
130.15,C1=CC=C2C(=C1)N=CC=N2,quinoxaline,quinoxaline
129.16,C1=CC=C2C(=C1)C=CC=N2,quinoline,quinoline
142.2,CC1=CC2=CC=CC=C2C=C1,2-methylnaphthalene,2-methylnaphthalene
160.24,C1=CC=C2C=C(C=CC2=C1)S,naphthalene-2-thiol,2-naphthalenethiol
143.18,CC1=CC2=C(C=C1)N=CC=C2,6-methylquinoline,6-methylquinoline
143.18,CC1=NC2=CC=CC=C2C=C1,2-methylquinoline,2-methylquinoline
160.17,CC1=CC2=C(C=C1)OC(=O)C=C2,6-methylchromen-2-one,6-methylcoumarin
154.21,C1=CC=C(C=C1)C2=CC=CC=C2,"1,1'-biphenyl",biphenyl
168.19,COC1=C(C=C(C=C1)CO)OC,"(3,4-dimethoxyphenyl)methanol","3,4-dimethoxybenzyl alcohol"
158.2,COC1=CC2=CC=CC=C2C=C1,2-methoxynaphthalene,2-methoxynaphthalene
170.21,CC(=O)C1=CC2=CC=CC=C2C=C1,1-naphthalen-2-ylethanone,2-acetylnaphthalene
178.23,COC1=C(C=C(C=C1)CC=C)OC,"1,2-dimethoxy-4-prop-2-enylbenzene",methyl eugenol
172.22,CCOC1=CC2=CC=CC=C2C=C1,2-ethoxynaphthalene,2-ethoxynaphthalene
185.26,CC(C)CC1=NC2=CC=CC=C2C=C1,2-(2-methylpropyl)quinoline,2-isobutylquinoline
206.24,CC(=O)OC1=C(C=C(C=C1)CC=C)OC,(2-methoxy-4-prop-2-enylphenyl) acetate,eugenol acetate
138.16,CC1=CC(=C(C=C1)O)OC,2-methoxy-4-methylphenol,2-methoxy-4-methylphenol
134.17,CC(C=O)C1=CC=CC=C1,2-phenylpropanal,2-phenylpropanal
136.19,CCC(C1=CC=CC=C1)O,1-phenylpropan-1-ol,1-phenyl-1-propanol
134.17,CCC(=O)C1=CC=CC=C1,1-phenylpropan-1-one,propiophenone
136.15,COC(=O)C1=CC=CC=C1,methyl benzoate,methyl benzoate
137.14,COC(=O)C1=CN=CC=C1,methyl pyridine-3-carboxylate,methyl nicotinate
150.17,CCOC(=O)C1=CC=CC=C1,ethyl benzoate,ethyl benzoate
162.18,CC(=O)CC(=O)C1=CC=CC=C1,"1-phenylbutane-1,3-dione",benzoylacetone
198.22,C1=CC=C(C=C1)C(=O)OC2=CC=CC=C2,phenyl benzoate,phenyl benzoate
192.21,CCOC(=O)CC(=O)C1=CC=CC=C1,ethyl 3-oxo-3-phenylpropanoate,ethyl benzoylacetate
180.2,CCCOC(=O)C1=CC=C(C=C1)O,propyl 4-hydroxybenzoate,propylparaben
194.23,CCCCOC(=O)C1=CC=C(C=C1)O,butyl 4-hydroxybenzoate,butyl 4-hydroxybenzoate
192.25,CC(C)CCOC(=O)C1=CC=CC=C1,3-methylbutyl benzoate,isoamyl benzoate
226.27,C1=CC=C(C=C1)CCOC(=O)C2=CC=CC=C2,2-phenylethyl benzoate,phenethyl benzoate
134.2,C1=CC=C2C(=C1)C=CS2,1-benzothiophene,benzo[b]thiophene
135.19,C1=CC=C2C(=C1)N=CS2,"1,3-benzothiazole",benzothiazole
131.17,CC1=CC2=CC=CC=C2N1,2-methyl-1H-indole,2-methylindole
133.15,CC1=NC2=CC=CC=C2O1,"2-methyl-1,3-benzoxazole",2-methylbenzoxazole
122.16,CC1=C(C=C(C=C1)O)C,"3,4-dimethylphenol","3,4-dimethylphenol"
122.16,CC1=CC(=C(C=C1)C)O,"2,5-dimethylphenol","2,5-dimethylphenol"
146.14,CCOC(=O)C(=O)OCC,diethyl oxalate,diethyl oxalate
86.13,CCC(C)C=O,2-methylbutanal,2-methylbutyraldehyde
86.13,CCC(=O)CC,pentan-3-one,3-pentanone
86.09,COC(=O)C=C,methyl prop-2-enoate,methyl acrylate
86.13,C1CCC(C1)O,cyclopentanol,cyclopentanol
86.13,CC1CCCO1,2-methyloxolane,2-methyltetrahydrofuran
86.09,C1CC(=O)OC1,oxolan-2-one,gamma-butyrolactone
81.12,CN1C=CC=C1,1-methylpyrrole,1-methyl-1h-pyrrole
194.27,CC1=CCC(CC1OC(=O)C)C(=C)C,(2-methyl-5-prop-1-en-2-ylcyclohex-2-en-1-yl) acetate,carvyl acetate
208.3,CCC(=O)OC1CC(CC=C1C)C(=C)C,(2-methyl-5-prop-1-en-2-ylcyclohex-2-en-1-yl) propanoate,carvyl propionate
116.16,CCCC(C)C(=O)O,2-methylpentanoic acid,2-methylpentanoic acid
116.16,CCOC(=O)C(C)C,ethyl 2-methylpropanoate,ethyl isobutyrate
114.14,CCOC(=O)C(=C)C,ethyl 2-methylprop-2-enoate,ethyl methacrylate
118.13,CCOC(=O)C(C)O,ethyl 2-hydroxypropanoate,ethyl lactate
144.21,CC(C)COC(=O)C(C)C,2-methylpropyl 2-methylpropanoate,isobutyl isobutyrate
142.2,CC(C)COC(=O)C(=C)C,2-methylpropyl 2-methylprop-2-enoate,isobutyl methacrylate
144.21,CCCCOC(=O)C(C)C,butyl 2-methylpropanoate,butyl isobutyrate
142.2,CCCCOC(=O)C(=C)C,butyl 2-methylprop-2-enoate,butyl methacrylate
102.17,CCC(CC)CO,2-ethylbutan-1-ol,2-ethyl-1-butanol
100.16,CCC(CC)C=O,2-ethylbutanal,2-ethylbutanal
102.13,C1CC(OC1)CO,oxolan-2-ylmethanol,tetrahydrofurfuryl alcohol
96.08,C1=COC(=C1)C=O,furan-2-carbaldehyde,furfural
114.17,C1=COC(=C1)CS,furan-2-ylmethanethiol,furfuryl mercaptan
112.15,C1=CSC(=C1)C=O,thiophene-2-carbaldehyde,thiophene-2-carbaldehyde
156.26,CC(C)(C)C1CCC(CC1)O,4-tert-butylcyclohexan-1-ol,4-tert-butylcyclohexanol
154.25,CC(C)(C)C1CCC(=O)CC1,4-tert-butylcyclohexan-1-one,4-tert-butylcyclohexanone
150.22,CC(C)(C)C1=CC=C(C=C1)O,4-tert-butylphenol,4-tert-butylphenol
118.18,CC(=C)C1=CC=CC=C1,prop-1-en-2-ylbenzene,alpha-methylstyrene
122.16,CC(C1=CC=CC=C1)O,1-phenylethanol,1-phenylethanol
120.15,CC(=O)C1=CC=CC=C1,1-phenylethanone,acetophenone
128.17,C1CCC(CC1)C(=O)O,cyclohexanecarboxylic acid,cyclohexanecarboxylic acid
152.23,CC1=CCC(CC1O)C(=C)C,2-methyl-5-prop-1-en-2-ylcyclohex-2-en-1-ol,carveol
150.17,CC1=CC=C(C=C1)C(=O)OC,methyl 4-methylbenzoate,methyl 4-methylbenzoate
136.23,CC1=CCC(C=C1)C(C)C,"2-methyl-5-propan-2-ylcyclohexa-1,3-diene",alpha-phellandrene
136.23,CC1=CCC(=CC1)C(C)C,"1-methyl-4-propan-2-ylcyclohexa-1,4-diene",gamma-terpinene
136.23,CC1=CC=C(CC1)C(C)C,"1-methyl-4-propan-2-ylcyclohexa-1,3-diene",alpha-terpinene
